Y1	Y2	Y	Domain	area	keywords	Abstract
0	0	0	CS 	 Computer vision  	 Surface roughness; Color distribution statistical matrix; Overlap degree of color; Robustness to the light source; Texture direction        	A ground surface roughness measurement method is proposed to address current problems in the use of machine vision technology to measure roughness: the calculations are complex, and the measurement process is largely affected by the light source. Based on the area of diffusion regions between the virtual images formed by a light source on ground surfaces with different roughness levels are different, a reference light source containing two base color is designed. Red and green color space-based color distribution statistical matrices, as well as corresponding overlap indices, are proposed. A relationship model between overlap index and roughness is constructed. The effect of light source brightness and texture direction on the relationship model is discussed based on the experimental data. The results demonstrate that the surface roughness measurement method, which is based on the overlap degree of the color image, has relatively high accuracy and a relatively wide measurement range and is, to a certain degree, robust to the brightness of the light source and the texture direction. The surface roughness measurement method has huge potential for engineering applications. (C) 2017 Elsevier Ltd. All rights reserved.
2	4	37	Psychology  	 Prosocial behavior  	 joint action; development; early childhood; action planning        	The planning and adjusting of one's actions in relation to an action partner is fundamental to smooth joint action. During their first years of life, children gradually become more engaged in joint actions. Here, we investigated whether and at what age children take their partner into account in their action plans to accommodate the other's actions. We focused on children's proactive planning (without prior experience) and flexible adjustment of action plans over time. In a behavioural study, we tested 96 children from four age groups (4, 3, 32 and 5 years) in a joint cup-stacking task. Children passed cups to their partner who had only one hand available (alternating over time) to build a tower. Children's response choices were assessed (i.e. passing the cup on the free or occupied side to their partner). The study yielded two major findings. At all ages, children proactively planned their actions in a way that accommodated their partner's actions. However, only by 31, years did children start to flexibly integrate their partner into their action plans. Even at age 5, children only showed minimal adjustments to their action partner. Candidate processes underlying these developmental changes (e.g. inhibitory control, cognitive flexibility, perspective taking) are discussed.
4	3	64	Civil 	 Rainwater Harvesting  	 rural water supply; sanitary surveys; water quality; springs; dug wells; rainwater harvesting        	Information about the quality of rural drinking water sources can be used to manage their safety and mitigate risks to health. Sanitary surveys, which are observational checklists to assess hazards present at water sources, are simpler to conduct than microbial tests. We assessed whether sanitary survey results were associated with measured indicator bacteria levels in rural drinking water sources in Kisii Central, Kenya. Overall, thermotolerant coliform (TTC) levels were high: all of the samples from the 20 tested dug wells, almost all (95%) of the samples from the 25 tested springs, and 61% of the samples from the 16 tested rainwater harvesting systems were contaminated with TTC. There were no significant associations between TTC levels and overall sanitary survey scores or their individual components. Contamination by TTC was associated with source type (dug wells and springs were more contaminated than rainwater systems). While sanitary surveys cannot be substituted for microbial water quality results in this context, they could be used to identify potential hazards and contribute to a comprehensive risk management approach.
4	4	65	Civil 	 Water Pollution  	 Anaerobic digestion; Codigestion; Dairy; Waste management; Nutrient management; Economic feasibility        	There has been sustained interest from both environmental regulators and livestock associations to expand the use of anaerobic digester (AD) technology to mitigate greenhouse gas emissions. However, the generally profitable practice of codigesting off-farm organic waste could increase nitrogen and phosphorus content to the farm and exacerbate nutrient over-application concerns near large animal operations. We examine the economic feasibility of a broad set of dairy waste management systems composed of two technology groups that mitigate air and water pollution: an AD system that includes either animal waste input or combination animal/off-farm organic waste codigestion input and either compressed natural gas (CNG) or combined heat and power (CHP) output; and a filtration system that includes fiber separation, nutrient separation, and/or water recovery. We conclude that AD setups without codigestion are only economically feasible under limited conditions, but scenarios which use codigestion have the potential to contribute to nutrient over-application without nutrient separation technology. Trends for CNG and CHP match closely. Net present value (NPV) is greatest for AD with CNG scenarios. Estimated NPV for AD with CNG and environmental credits is $1.8 million and $39.7 million for dairies with 1600 and 15,000 wet cow equivalents, respectively. For these firm sizes, the addition of codigestion contributes $4.8 million and $47.3 million, respectively, to estimated NPV. Nutrient separation and water recovery both lead to decreases in scenario NPV with codigestion, but with the right policies, dairy owners may be willing to adopt AD with nutrient separation. Published by Elsevier Ltd.
0	14	14	CS 	 Computer programming  	 Algorithm; Section 2(b); Expression; Google        	As a result of rapid advances in technology and computer programming, algorithms are increasingly able to generate expressive material. In light of these advances, it is inevitable that courts will be asked to determine whether this algorithmically generated content is protected expression under section 2(b) of the Canadian Charter of Rights and Freedoms. Although algorithmically generated content can serve many of the same constitutionally-protected purposes as human expression, this paper explains why the Supreme Court of Canada's current framework is inadequate for use in the context of algorithmically generated content. This paper offers a proactive and principled solution that is consistent with the fundamental principles of freedom of expression articulated by the Court in R v Keegstra. This solution allows content that upholds the Keegstra principles to be protected despite the fact that the algorithm's creator may not have contemplated the specific content.
1	12	29	ECE 	 Signal-flow graph  	 analog test generation; mixed-signal test generation; backtracing; parametric faults; catastrophic faults        	We describe a new reverse simulation approach to analog and mixed-signal circuit test generation that parallels digital test generation. We invert the analog circuit signal flow graph, reverse simulate it with good and bad machine outputs, and obtain test waveforms and component tolerances, given circuit output tolerances specified by the functional test needs of the designer. The inverted graph allows backtracing to justify analog outputs with analog input sinusoids. Mixed-signal circuits can be tested using this approach, and we present test generation results for two mixed-signal circuits and four analog circuits, one being a multiple-input, multiple-output circuit. This analog backtrace method can generate tests for second-order analog circuits and certain non-linear circuits. These cannot be handled by existing methods, which lack a fault model and a backtrace method. Our proposed method also defines the necessary tolerances on circuit structural components, in order to keep the output circuit signal within the envelope specified by the designer. This avoids the problem of overspecifying analog circuit component tolerances, and reduces cost. We prove that our parametric fault tests also detect all catastrophic faults. Unlike prior methods, ours is a structural, rather than functional, analog test generation method.
0	12	12	CS 	 Symbolic computation  	 The modified simple equation method; Exact traveling wave solution; Generalizal Zakharov-Kuznetsov-Benjamin-Bona-Mahony (GZK-BBM); The regularized long wave equation; Balance number; Nonlinear evolution equations (NLEEs)        	This work obtains the disguise version of exact solitary wave solutions of the generalized (2+1)-dimensional Zakharov-Kuznetsov Benjamin-Bona-Mahony and the regularized long wave equation with some free parameters via modified simple equation method (MSE). Usually the method does not give any solution if the balance number is more than one, but we apply MSE method successfully in different way to carry out the solutions of nonlinear evolution equation with balance number two. Finally some graphical results of the velocity profiles are presented for different values of the material constants. It is shown that this method, without help of any symbolic computation, provide a straightforward and powerful mathematical tool for solving nonlinear evolution equation. (C) 2017 National Laboratory for Aeronautics and Astronautics. Production and hosting by Elsevier B.V.
6	7	132	biochemistry 	 Northern blotting  	 proteomics; proteasome; heat shock protein 27; alpha B-crystallin; cardiovascular heat shock protein; peroxiredoxin-1; superoxide dismutase-1; hemeoxygenase-1; cofilin-1; transgelin; ubiquitin; MG132        	We hypothesized that impaired proteasomal function affects gene expression in cardiomyocytes. To identify those genes, a proteomics-based analysis of neonatal rat cardiac myocytes treated with the proteasome inhibitor MG132 in comparison to vehicle treated control cells was performed. MG132 treatment induced reproducible changes in the protein expression profile, which was analyzed by two-dimensional difference gel electrophoresis followed by tryptic peptide mass fingerprinting for spot identification by MALDI-TOF mass spectrometry. The identified protein alterations could be grouped into three major categories: (1) induction of small heat shock proteins (HSPs) with chaperonic function, such as HSP27, alpha beta-crystallin, and cardiovascular HSP, (2) altered expression of actin associated proteins, such as cofilin-1 and transgelin, and (3) induction of antioxidant proteins, such as peroxiredoxin-1, superoxide dismutase-1, and hemeoxygenase-1. Northern blotting revealed that expression was regulated at the mRNA level. Given that proteasomal activity is decreased in cardiovascular diseases, alterations in proteasome-dependent control of mRNA expression could provide a novel mechanism by which disease progression is modulated. (c) 2006 Elsevier Inc. All rights reserved.
2	3	36	Psychology  	 Nonverbal communication  	 Verbal and non-verbal contacts; inanimate contact; one-sided communication; distance learning; oratory; biased evaluation        	"In this study, we would like to highlight the advantages and disadvantages of distance form of education and ways to improve it because now e-learning has been expanding at a very rapid rate in quantitative terms, and qualitative parameters of DE in Kazakhstan require a detailed analysis. Weighing the objective merits and problem areas of DE, we will try to justify the existing requirements, opportunities and tools of DE and propose ways to improve it in order to higher education institutions of Kazakhstan, including Almaty Management University, could compete in the educational market in the world educational space. The aim of the study is to improve the instruments in the creation of educational products for distance education. It includes evaluation of the advantages and disadvantages of distance learning format at the university, the model of existing distance education: naugramma, determination of weak points in DE implementation, one-way contact problems: causes of a ""blank shot"", transfer of knowledge through the computer monitors, face-to-face contact: verbal and nonverbal communication of a teacher with a student. The conditions for development of DE were recent achievements in technologies of teaching, media and communications, the rapid development and widespread use of a variety of technical means. Primarily, they refer to the computer and information technology, satellite communication systems, educational television, mass connection to information systems and distribution of learning software and videos. To implement the model ''Only Distance Education at the three stages"" we have analyzed the methods used in DE in secondary education. As an example, we analyzed teaching chemistry at a secondary school for disabled children in Moscow. The research of the first stage (secondary school) and analysis of applying distance form of education at the second stage (university) together with assessment of problematic areas have resulted in creating an effective model. When implemented, this model will work with great efficiency and help to eliminate many difficulties that slow down the realization of the whole package of instruments of Distance Education."
1	12	29	ECE 	 Signal-flow graph  	 testability modeling; 1553B bus system; multi-signal flow graph        	For the problem of 1553B bus system testability modeling which has the character of bidirectional information transmission, to put forward a method of testability modeling for 1553B bus system based on multi-signal flow graph. On the basis of analyzing the bus topology, information transmission mechanism and fault mode of 1553B bus, to construct the multi signal flow graph model of 1553B bus system by modeling of bi-redundancy bus structure, multi-dimension function attribute definition, multi-work mode and test item definition. Finally, by analyzing of an example, it proved the effectiveness of this 1553B multi-signal flow graph constructed in this paper.
2	8	41	Psychology  	 Borderline personality disorder  	 borderline personality disorder; children of parents with a mental illness (COPMI); lived experience; parent; parenting challenges; qualitative research        	ObjectiveA parental diagnosis of borderline personality disorder has been associated with high levels of parenting distress and greater risk of psychopathology and psychosocial issues among their children. The aim of the present study was to investigate the experience of parents who have a diagnosis of borderline personality disorder and their perceptions regarding access to appropriate parenting supports and resources. MethodsEleven mothers and one father with a past and/or present diagnosis of borderline personality disorder participated in focus groups in which they were asked questions about their experiences of parenting and service provision. Participants were aged between 29 and 59 years (M = 40.17; standard deviation = 9.53), and the majority identified themselves as Caucasian (83%). The study design was qualitative, and thematic analysis was utilised to identify common themes. ResultsThematic analysis identified four key themes of parenting challenges, parenting rewards, barriers to accessing support, and recommendations for improving parenting experience. Seventeen subthemes were also identified and are represented graphically. ConclusionsParents with a diagnosis of borderline personality disorder find parenting both a challenging and rewarding experience. While a number of themes identified by parents with a diagnosis of borderline personality disorder are similar to those reported by parents with other forms of severe mental illness (i.e., rewards, stigma, fear of custody loss, and negative service provision experiences), there was also evidence of specific themes relating to the symptoms of borderline personality disorder and parenting. Recommendations are provided for improving services for these parents.
5	9	81	Medical 	 Skin Care  	 bioadhesive polymers; delivery/vectorization/penetration; rheology; skin barrier        	INTRODUCTION: The use of bioadhesive hydrogels for skin care presents important advantages such as long residence times on the application site and reduced product administration frequency. OBJECT: The aim of the present work was to develop bioadhesive hydrogels for skin application, using caffeine as a model active ingredient. METHODS: Eight hydrogels were formulated using binary combinations of a primary polymer (carbomer homopolymer type C (Carbopol((R)) 980) or kappa carrageenan potassium salt (Gelcarin((R)) GP-812 NF)) and a secondary polymer (carbomer copolymer type B (Pemulen TR-1), xanthan gum or guar gum). Hydrogels were characterized by means ofphysico-chemical (dynamic rheological measurements, spreadability and adhesion measurements) and sensory methods (projective mapping in combination with a check-all-that-apply (CATA) question). Caffeine hydrogels were formulated using two of the most promising formulations regarding adhesion properties and sensory characteristics. In vitro active ingredient release studies were carried out. RESULTS: Hydrogel formulations showed a prevalently elastic rheological behaviour. Complex viscosity of carbomer homopolymer type C hydrogels was higher than that of the kappa carrageenan hydrogels. Besides, complex viscosity values were dependent on the secondary polymer present in the formulation. Significant differences among hydrogels were found in detachment force, work of adhesion and spreading diameter results. Association of projective mapping with CATA allowed to determine similarities and dissimilarities among samples. Cluster analysis associated the samples in two groups. Two hydrogels were selected to study the release of caffeine. Both hydrogels presented similar release profiles which were well described by the Higuchi model. Caffeine release was exclusively controlled by a diffusive process. CONCLUSION: Physico-chemical and sensory techniques enabled the identification of bioadhesive hydrogel formulations with positive characteristics for cosmetic applications. Formulations which combined carbomer homopolymer type C with xanthan gum or with carbomer copolymer type B were the most promising for bioadhesive skin products. Caffeine release profiles of selected formulations were not statistically different. Both hydrogels gradually released the active ingredient, reaching approximately 80% within the first 5h, and their profiles were well described by the Higuchi model. In this context, it could be concluded that the selected hydrogels are suitable bioadhesive hydrogel formulations for cosmetic application on the skin.
6	6	131	biochemistry 	 Polymerase chain reaction  	 LSD1; EZH2; Histone modification; Interferon pathway; IRF9        	Histone methylation is a complicate and dynamic epigenetic modification that regulates gene transcription, chromosomal structure and cell differentiation. Here, we discovered the interaction between the H3K4 demethylase, lysine specific demethylase 1 (LSD1, an important component of CoREST repressor complex) and the H3K27 methyltransferase, enhancer of zeste homolog 2 (EZH2, an essential component of PRC2). Immuno-precipitation and GST-pull down assay were performed to observe the interaction between the proteins. The MCF-7 cells were cultured and transfected with the siRNA. The mRNA and proteins were examined by using the real-time polymerase chain reaction (RT-PCR) and western blot assay, respectively. HPLC and LC-MS/MS analysis were performed to purify the proteins. RTPCR- based quantitative ChIP analysis were performed. LSD1 interacts with histone modification protein EZH2 in MCF-7 cells. LSD1 and EZH2 target a few common genes. LSD1 knockdown and EZH2 knockdown affect protein expression. LSD1 knockdown and EZH2 knockdown affect the proteins involving in IFN signaling pathway. LSD1 and EZH2 modify histone methylation at IRF9 gene locus. We systematically analyzed the proteins that are affected by either LSD1 or EZH2 knockdown with proteomic approaches and identified that the interferon pathway and some other pathways are commonly affected. The interaction between LSD1 and EZH2 stabilizes the binding of LSD1 to the promoter region of IRF9, which is a key transcription factor of the interferon pathway. In conclusion, our study revealed that the coordination between histone demethylases and methyl-transferases might serve as a double lock system to suppress the expression of interferon stimulated genes. (C) 2017 Published by Elsevier Masson SAS.
5	31	103	Medical 	 Low Testosterone  	 Mesterolone; Andropause; Prostate        	Objective: To investigate the effects of mesterolone on prostate in patients treated for aging male syndrome. Methods: The cross-sectional study was conducted from June to September, 2009, at endocrinology and metabolism department of Yuzuncu Yil University, Van, Turkey, and comprised patients with symptoms of aging male syndrome and/or low testosterone. They were given mesterolone 50mg/day per oral for two months. Aging Male Symptoms and International Prostate Symptom Score questionaires and prostate-related quality of life scores were completed and prostate ultrasonography (USG) was performed before and after the treatment. Total testosterone, free testosterone, gonadotropins, estradiol, prolactin, sex-hormone binding globulin, as well as total and free prostate-specific antigen were also studied. Results: Of the 34 patients in the study, 22(64.70%) had their prostate volume increased, while 12(35.29%) had it decreased. The change, however, was not statistically significant (p<0.098). Mesterolone significantly improved Aging Male Symptoms, International Prostate Symptom and prostate-related quality of life scores (p<0.001). These improvements though significant were independent of the changes in prostate volume. Total testosterone, sex-hormone binding globulin andestradiol decreased, while free testosterone showed no change (p<0.002, p<0.001, p<0.024, p<0.337). The fraction of free testosterone increased (p<0.001), while total and free prostate-specific antigen did not change (p<0.368 and p<0.841) Conclusion: Mesterolone proved to be a safe alternative in the treatment of Aging Male Syndrome. It also improved lower urinary tract symptoms and prostate-related quality of life.
1	2	19	ECE 	 Electrical circuits  	 High voltage (HV); magnetically controlled resonant transformer (MCRT); on-site test; parental resonance; power frequency; test system        	In this paper, a novel compact high-voltage (HV) test system based on a magnetically controlled resonant transformer (MCRT) is proposed. This system is used to perform a power-frequency HV on-site voltage withstanding test. First, the basic principle of the MCRT is introduced. Next, a Fourier analysis based on the equivalent magnetic and electrical circuits of the MCRT is described. This analysis provides a design reference for the basic MCRT parameters. In addition, a finite-element model was constructed to verify the MCRT design. Finally, an MCRT prototype was designed to verify the effectiveness of the test system. Compared with the traditional HV test systems, the proposed test system in this paper has the advantages of compact structure, stable secondary voltage, and wide reactance adjustment range.
4	3	64	Civil 	 Rainwater Harvesting  	 Urban harvest approach; Water management; Urban water; Water cycle; Household water demand; Residential water consumption        	Earlier results indicated that, for an average household, self-sufficiency in water supply can be achieved by following the Urban harvest Approach (UHA), in a combination of demand minimization, cascading and multi-sourcing. To achieve these results, it was assumed that all available local resources can be harvested. In reality, however, temporal, spatial and location-bound factors pose limitations to this harvest and, thus, to self-sufficiency. This article investigates potential spatial and temporal limitations to harvest local water resources at building level for the Netherlands, with a focus on indoor demand. Two building types were studied, a free standing house (one four-people household) and a mid-rise apartment flat (28 two-person households). To be able to model yearly water balances, daily patterns considering household occupancy and presence of water using appliances were defined per building type. Three strategies were defined. The strategies include demand minimization, light grey water (LGW) recycling, and rainwater harvesting (multi-sourcing). Recycling and multi-sourcing cater for toilet flushing and laundry machine. Results showed that water saving devices may reduce 30% of the conventional demand. Recycling of LGW can supply 100% of second quality water (D-Q2) which represents 36% of the conventional demand or up to 20% of the minimized demand. Rainwater harvesting may supply approximately 80% of the minimized demand in case of the apartment flat and 60% in case of the free standing house. To harvest these potentials, different system specifications, related to the household type, are required. Two constraints to recycle and multi-source were identified, namely i) limitations in the grey water production and available rainfall; and ii) the potential to harvest water as determined by the temporal pattern in water availability, water use, and storage and treatment capacities. (C) 2013 Elsevier Ltd. All rights reserved.
5	18	90	Medical 	 Emergency Contraception  	 Sexual health; Media analysis; Gender; Sexual risk; Prevention        	"Background: The need to challenge messages that reinforce harmful negative discourses around sexual risk and responsibility is a priority in improving sexual health. The mass media are an important source of information regularly alerting, updating and influencing public opinions and the way in which sexual health issues are framed may play a crucial role in shaping expectations of who is responsible for sexual health risks and healthy sexual practices. Methods: We conducted an in-depth, qualitative analysis of 85 negatively toned newspaper articles reporting on sexual health topics to examine how risk and responsibility have been framed within these in relation to gender. Articles published in 2010 in seven UK and three Scottish national newspapers were included. A latent content analysis approach was taken, focusing on interpreting the underlying meaning of text. Results: A key theme in the articles was men being framed as a risk to women's sexual health, whilst it was part of a women's role to ""resist"" men's advances. Such discourses tended to portray a power imbalance in sexual relationships between women and men. A number of articles argued that it was women who needed to take more responsibility for sexual health. Articles repeatedly suggested that women and teenage girls in particular, lacked the skills and confidence to negotiate safer sex and sex education programmes were often presented as having failed. Men were frequently portrayed as being more promiscuous and engaging in more risky sexual health behaviours than women, yet just one article drew attention to the lack of focus on male responsibility for sexual health. Gay men were used as a bench mark against which rates were measured and framed as being a risk and at risk. Conclusions: The framing of men as a risk to women, whilst women are presented at the same time as responsible for patrolling sexual encounters, organising contraception and preventing sexual ill health reinforces gender stereotypes and undermines efforts to promote a collective responsibility for sexual health. This has implications for sexual ill health prevention and could continue to reinforce a negative culture around sex, relationships and sexual health in the UK."
5	18	90	Medical 	 Emergency Contraception  	 Emergency contraception; Emergency departments; HIV/STI testing and prophylaxis; Mental health counseling; Sexual assault; Sexual assault forensic/nurse examiner programs        	Objective: To describe medical services provided to sexual assault patients in US emergency departments and to identify the percentage of hospitals always providing the 10 elements of comprehensive medical care management (CMCM). Methods: A cross-sectional study was conducted in a national sample of US hospitals. A 26-item telephone survey assessed provision of services to sexual assault survivors in accordance with CMCM. Management included acute medical care comprising history and physical examination; acute and long-term rape crisis counseling; STI testing and prophylaxis; emergency contraception counseling and provision; and HIV testing and prophylaxis. The primary outcome was extent of provision of these elements. Results: Overall, 582 emergency departments responded to the survey. The following components of CMCM were provided: acute medical care (582 [100.0%]); rape crisis counseling (234 [40.2%]); STI management (448 [77.0%]); emergency contraception (351 [60.3%]); and HIV management (380 [65.3%]). Only 101 (17.4%) hospitals provided all 10 elements of CMCM. Conclusion: Less than one-fifth of US hospitals provide comprehensive services to sexual assault patients. A national program incorporating clinical guidelines, checklists, and funding for sexual assault forensic/nurse examiner programs could improve the standard of care provided in emergency departments the primary point of contact for acute care of sexual assault survivors. (c) 2013 International Federation of Gynecology and Obstetrics. Published by Elsevier Ireland Ltd. All rights reserved.
2	16	49	Psychology  	 False memories  	 children's memory; children's suggestibility; experience; expertise; feedback        	The aim of this article was to explore whether psychologists, lawyers, and psychology students would be able to predict how children behave in memory and suggestibility experiments and if this ability is associated with different measures of experience. The participants (N = 63) were to predict the results of a series of published research studies pertaining to children's memory and suggestibility. The results indicated that the ability of the participants to predict the behavior of children was overall low and unrelated to experience. It was concluded that professionals who should be able to assess children's functioning as witnesses may not be able to do so.
5	42	114	Medical 	 Parenting  	 Parental warmth; Harsh discipline; Externalizing problems; Developmental trajectory; Person-oriented approach        	Although parenting is one of the most commonly studied predictors of child problem behavior, few studies have examined parenting as a multidimensional and dynamic construct. This study investigated different patterns of developmental trajectories of two parenting dimensions (harsh discipline [HD] and parental warmth [PW]) with a person-oriented approach and examined the associations between different parenting patterns and child externalizing problems and callous-unemotional traits. Data were drawn from the combined high-risk control and normative sample (n = 753) of the Fast Track Project. Parent-reported HD and observer-reported PW from kindergarten to grade 2 were fit to growth mixture models. Two subgroups were identified for HD (low decreasing, 83.0 %; high stable, 17.0 %) and PW (high increasing, 78.7 %; low increasing, 21.3 %). The majority of parents (67.0 %) demonstrated the low decreasing HD and high increasing PW pattern, while the prevalence of the high stable HD and low increasing PW pattern was the lowest (6.8 %). Parenting satisfaction, parental depression, family socioeconomic status, and neighborhood safety predicted group memberships jointly defined by the two dimensions. Children from the high stable HD and low increasing PW pattern showed the highest levels of externalizing problems in grades 4 and 5. Children from the low decreasing HD and low increasing PW pattern showed the highest levels of callous-unemotional traits in grade 7. These findings demonstrate the utility and significance of a person-oriented approach to measuring parenting as a multidimensional and dynamic construct and reveal the interplay between HD and PW in terms of their influences on child developmental outcomes.
4	7	68	Civil 	 Green Building  	 railway station; passive design; building energy efficiency; test; computer simulation        	As a city's landmark building, railway passenger stations are often large in space, crowded and extremely comfortable, which resulted in high energy consumption. Taking Taiyuan south railway station as a case, this paper introduced the green energy-saving design of the adaptable climate through natural ventilation, palisade structure, shading and natural lighting, ventilation and heating, and so on. Meanwhile, design effects were verified by simulation and experimental test.
1	7	24	ECE 	 Microcontroller  	 Flash memory; internet of things (IoT); microcontroller unit (MCU); resistive random-access memory (ReRAM); sensor hub        	This paper proposes embedding 256 Kb resistive random-access memory (ReRAM) in a microcontroller unit as a data buffer for communicating with a stand-alone flash memory. In this study, the chip was manufactured using a combination of the TSMC 0.18 mu m process and the Industrial Technology Research Institute ReRAM back-end-of-line process. The ReRAM was equipped with a novel sense amplifier that had three magnification times for the reference cell current for increasing the read yield by 32%. Furthermore, the ReRAM controller included built-in self-test, built-in self-repair, a shortened Bose-Chaudhuri-Hocquenghem (99, 64, 5) error-correlating code, and asymmetric coding can yield ReRAM up to approximately 100%. When compared with the conventional dynamic random-access memory (DRAM) buffer, the proposed architecture reduces the system execution time by 25% and the power consumption by 15% at 25 MHz. Simulations also showed that the ReRAM buffering runs at least 51% faster when compared with the use of other nonvolatile memories such as ferroelectric RAM, phase change RAM, and conduct-bridge RAM. Although ReRAM buffering is just competitive in speed and power consumption of spin-transfer torque magnetorresistive RAM buffering, ReRAM has clear advantages in area, cost, and reliability.
6	0	125	biochemistry 	 Molecular biology  	 cell differentiation; Nicotiana tabacum; gene expression; short peptides; plant growth regulation        	Exogenous short biologically active peptides epitalon (Ala-Glu-Asp-Gly), bronchogen (Ala-Glu-Asp-Leu), and vilon (Lys-Glu) at concentrations 10(-7)-10(-9) M significantly influence growth, development, and differentiation of tobacco (Nicotiana tabacum) callus cultures. Epitalon and bronchogen, in particular, both increase growth of calluses and stimulate formation and growth of leaves in plant regenerants. Because the regulatory activity of the short peptides appears at low peptide concentrations, their action to some extent is like that of the activity of phytohormones, and it seems to have signaling character and epigenetic nature. The investigated peptides modulate in tobacco cells the expression of genes including genes responsible for tissue formation and cell differentiation. These peptides differently modulate expression of CLE family genes coding for known endogenous regulatory peptides, the KNOX1 genes (transcription factor genes) and GRF (growth regulatory factor) genes coding for respective DNA-binding proteins such as topoisomerases, nucleases, and others. Thus, at the level of transcription, plants have a system of short peptide regulation of formation of long-known peptide regulators of growth and development. The peptides studied here may be related to a new generation of plant growth regulators. They can be used in the experimental botany, plant molecular biology, biotechnology, and practical agronomy.
1	2	19	ECE 	 Electrical circuits  	 Microbial fuel cell; Community growth and electrochemical impedance spectroscopy        	Background: A laboratory-scale two-chamber microbial fuel cell employing an aerated cathode with no catalyst was inoculated with mixed inoculum and acetate as the carbon source. Electrochemical impedance spectroscopy (EIS) was used to study the behavior of the MFC during initial biofilm (week 1) and maximum power density (week 20). EIS were performed on the anode chamber, biofilm (without anolyte) and anolyte (without biofilm). Nyquist plots of the EIS data were fitted with two equivalent electrical circuits to estimate the contributions of intrinsic resistances to the overall internal MFC impedance at weeks 1 and 20, respectively. Results: The results showed that the system tended to increase power density from 15 +/- 3 (week 1) to 100 +/- 15 mW/m(2) (week 20) and current density 211 +/- 7 (week 1) to 347 +/- 29 mA/m(2) (week 20). The Samples were identified by pyrosequencing of the 16S rRNA gene and showed that initial inoculum (week 1) was constituted by Proteobacteria (40%), Bacteroidetes (22%) and Firmicutes (18%). At week 20, Proteobacterial species were predominant (60%) for electricity generation in the anode biofilm, being 51% Rhodopseudomonas palustris. Meanwhile on anolyte, Firmicutes phylum was predominant with Bacillus sp. This study proved that under the experimental conditions used there is an important contribution from the interaction of the biofilm and the anolyte on cell performance. Table 1 presents a summary of the specific influence of each element of the system under study. Conclusions: The results showed certain members of the bacterial electrode community increased in relative abundance from the initial inoculum. For example, Proteobacterial species are important for electricity generation in the anode biofilms and Firmicutes phylum was predominant on anolyte to transfer electron. R1 is the same in the three systems and no variation is observed over time. The biofilm makes a significant contribution to the charge transfer processes at the electrode (R2 and Cdl) and, consequently, on the performance of the anode chamber. The biofilm can act as a barrier which reduces diffusion of the anolyte towards the electrode, all the while behaving like a porous material. The anolyte and its interaction with the biofilm exert a considerable influence on diffusion processes, given that it presents the highest values for Rd which increased at week 20.
1	15	32	ECE 	 Operational amplifier  	 Chopper offset-stabilized operational amplifier; RC notch filter; ripple rejection; undershoot; overshoot; settling time        	The paper presents three approaches for frequency compensation in chopper offset-stabilized amplifiers with symmetrical passive RC notch filter with two cutoff frequencies. The filter has two cutoff frequencies: the chopping frequency itself and the fifth harmonic of the chopping frequency. The frequency compensation network is connected either at the input of the notch filter, or at its output, or between its two sections. The large signal transient response is evaluated in terms of the overshoot/undershoot and the settling time. Three circuits using these techniques were fabricated and evaluated. The approach that uses the frequency compensation network connected between the sections of the filter has the best results, except for the chopping ripple rejection.
2	6	39	Psychology  	 Eating disorders  	 Life drawing; Body image; Embodiment; Art; Body appreciation        	Three studies were conducted to establish the extent to which life drawing is effective at promoting positive body image. Study 1 (N = 84 women) showed that life drawing had a positive impact on state body image, but only if artists observed a human model and not non-human objects. Study 2 (N = 61 women, 61 men) showed that life drawing had a positive impact on state body image for women and men, irrespective of whether artists observed a sex-congruent or -incongruent model. Study 3 (N = 23) showed that participating in weekly life drawing sessions for a 6-week period resulted in significantly elevated trait positive body image (body appreciation and body pride) and embodiment, and in reduced social physique anxiety; however, the intervention had no significant impact on negative body image (drive for thinness or muscularity). These results highlight the potential of life drawing for promoting positive body experiences. (C) 2016 Elsevier Ltd. All rights reserved.
